DOMINIO;TIPO_DOCUMENTO;NRO_DOCUMENTO;NRO_CUIT;PROPIETARIO_APELLIDO;PROPIETARIO_NOMBRE;FECHA_TITULARIDAD;CALLE;NUMERO;PISO;DEPARTAMENTO;CP;LOCALIDAD;PROVINCIA;TELEFONO;CELULAR;EMAIL;MARCA;MODELO;TIPO;PARTIDO
020KSK;CUIT;30679688444;30679688444;EL ESPAOL S.A.;;2014-01-18;RINCON;196;;;1089;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;;;;HONDA;WAVE 110;4;C.A.B.A.
023GDF;CUIT;30545826808;30545826808;COOP DE PROV DE OBRAS Y SERV PUB CLORINDA LTDA;;2010-04-23;JOSE F. CANCIO;1144;;;3610;CLORINDA;FORMOSA;;;;CORVEN;ENERGY 110 BY CORVEN;4;PILCOMAYO
034LCM;CUIT;30648839088;30648839088;MINISTERIO DE SEGURIDAD;;2014-12-06;6 E/51 Y;53;;;1900;LA PLATA;BUENOS AIRES;;;;YAMAHA;XTZ250;4;LA PLATA
045LMQ;CUIT;30715126067;30715126067;GOBIERNO DE LA PROVINCIA DE LA PAMPA - MINISTERIO DE SEGURIDAD - JEFATURA DE POLICIA;;2015-12-01;AV SPINETTO;1221;2;;6300;SANTA ROSA;LA PAMPA;;;;HONDA;XR 150 L;4;CAPITAL
068JKO;CUIT;30999003156;30999003156;MUNICIPALIDAD DE ROSARIO;;2013-05-09;BUENOS AIRES;711;;;2000;ROSARIO;SANTA FE;;;;HONDA;XR 250;4;ROSARIO
105GLM;CUIT;30697989575;30697989575;FUNARG S.A.;;2010-09-02;AV.ENTRE RIOS;840;;;1133;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;;;;HONDA;SDH125-46 STORM;4;C.A.B.A.
106LMQ;CUIT;30715126067;30715126067;GOBIERNO DE LA PROVINCIA DE LA PAMPA - MINISTERIO DE SEGURIDAD - JEFATURA DE POLICIA;;2015-12-01;AV. SPINETTO;1221;2;;6300;SANTA ROSA;LA PAMPA;;;;HONDA;XR 150 L;4;CAPITAL
111CKY;CUIT;30716389576;30716389576;TRIDENTE UNO S.A.S.;;2022-03-08;CALLE 66;3035;2;A;7630;NECOCHEA;BUENOS AIRES;;;;BMW;F 650 GS DAKAR;4;NECOCHEA
123JNS;CUIT;30522637129;30522637129;TOMAS S.A;;2012-12-06;FCA LA ESPERANZA RUTA NAC 34-KM;132;;;4552;CORONEL CORNEJO;SALTA;;;;YAMAHA;WR250F;4;GENERAL JOSE DE SAN MARTIN
126KSK;CUIT;30708843268;30708843268;GENETICA NOGALES S.A;;2014-12-15;ESMERALDA;1376;1;;1007;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;;;;MOTOMEL;CX 150;4;C.A.B.A.
129LBK;CUIT;30710347642;30710347642;GLOBALTERRA SA;;2015-06-25;AVDA.SAVIO;135;;;2900;SAN NICOLAS DE LOS ARROYOS;BUENOS AIRES;;;;CORVEN;ENERGY 110 BY CORVEN;4;SAN NICOLAS
136CGI;CUIT;30668096162;30668096162;LA BELLA S.A.;;2001-07-05;MATE DE LUNA;408;;;4700;S.F.V DE CATAMARCA;CATAMARCA;;;;HONDA;XLR 125;4;CAPITAL
150HMO;CUIT;33710078829;33710078829;SUR GANADOS S A;;2011-10-06;LICINO;902;;;2300;RAFAELA;SANTA FE;;;;GILERA;FR250 HOT BEAR;4;CASTELLANOS
154JGU;CUIT;30999018447;30999018447;MINISTERIO DE SEG. POLICIA DE LA PCIA. STA. FE;;2013-04-05;PRIMERA JUNTA;2823;;;3000;SANTA FE;SANTA FE;;;;HONDA;XR 250;4;LA CAPITAL
162DFF;CUIT;30553840011;30553840011;TALABARTERIA RUIZ DIAZ S.A.;;2007-06-06;MAIPU;812;;18;1006;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;;;;HONDA;TRX350 FM;4;C.A.B.A
167KDK;CUIT;30710234104;30710234104;VIERHAUS SA;;2013-12-01;SOLER;5127;;;1425;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;;;;JIANSHE;JS125-6B;4;C.A.B.A.
183JDK;CUIT;30500047174;30500047174;COOPERACION MUTUAL PATRONAL S.M.S.G;;2014-05-30;25 DE MAYO;530;;;2600;VENADO TUERTO;SANTA FE;;;;CORVEN;ENERGY 110 BY CORVEN;4;GENERAL LOPEZ
192KNE;CUIT;30669726712;30669726712;POLICIA DE LA PROVINCIA DE CORRIENTES;;2014-08-01;FRAY JOSE DE LA QUINTANA;853;;;3400;CORRIENTES;CORRIENTES;;;;HONDA;XR 250;4;CAPITAL